production,sense,feature,categorical,visual,predicate
sock.n.01,tights.n.01,categorical,1.49,0.91,0.32
dog.n.01,fox.n.01,categorical,1.57,-0.02,0.76
dog.n.01,wolf.n.01,categorical,1.57,0.43,0.72
ball.n.01,marble.n.02,categorical,1.65,1.39,0.27
ball.n.01,dome.n.04,predicate,-0.01,-0.13,0.01
kitten.n.01,fox.n.01,predicate,0.1,0.05,0.34
kitten.n.01,lion.n.01,predicate,0.0,-1.16,0.35
kitten.n.01,tiger.n.02,predicate,0.0,-1.13,0.38
kitten.n.01,beaver.n.07,predicate,0.21,-1.27,0.42
plum.n.02,applesauce.n.01,predicate,-0.78,0.13,0.55
truck.n.01,train.n.01,predicate,0.46,0.09,0.56
clock.n.01,radio_receiver.n.01,predicate,-0.06,0.06,0.67
fish.n.01,crab.n.01,predicate,0.21,0.74,0.76
bathtub.n.01,water.n.06,predicate,-1.24,0.55,0.86
car.n.01,airplane.n.01,predicate,0.46,-0.31,0.92
wheel.n.01,barrow.n.03,predicate,0.05,0.75,0.96
apple.n.01,orange_juice.n.01,predicate,-0.78,0.27,1.03
key.n.01,door.n.01,predicate,-0.01,0.25,1.12
duck.n.01,chicken.n.02,predicate,0.77,0.48,1.13
banana.n.02,lemon.n.01,predicate,0.95,0.45,1.16
book.n.01,magazine.n.02,predicate,0.93,0.99,1.2
apple.n.01,strawberry.n.01,predicate,0.95,0.22,1.28
banana.n.02,tomato.n.01,predicate,0.62,0.1,1.38
tea.n.01,teapot.n.01,predicate,-1.38,1.15,1.44
car.n.01,train.n.01,predicate,0.46,-0.8,1.52
banana.n.02,cherry.n.03,predicate,1.1,-0.41,1.56
apple.n.01,banana.n.02,predicate,1.1,0.6,1.73
banana.n.02,apple.n.01,predicate,1.1,0.6,1.73
bus.n.01,truck.n.01,predicate,0.46,0.22,1.75
truck.n.01,bus.n.01,predicate,0.46,0.22,1.75
duck.n.01,swan.n.01,predicate,1.22,1.43,1.97
banana.n.02,fruit.n.01,predicate,1.45,1.08,1.97
car.n.01,baby_buggy.n.01,predicate,0.72,-0.39,1.98
banana.n.02,orange.n.01,predicate,0.95,-0.16,2.02
wheel.n.01,wagon.n.01,predicate,0.17,0.86,2.02
car.n.01,bicycle.n.01,predicate,0.72,-0.82,2.07
cat.n.01,dog.n.01,predicate,1.27,0.67,2.08
dog.n.01,cat.n.01,predicate,1.27,0.67,2.08
boat.n.01,raft.n.01,predicate,-0.01,0.94,2.16
bus.n.01,train.n.01,predicate,1.4,0.06,2.19
butter.n.01,peanut_butter.n.01,predicate,0.31,1.48,2.23
car.n.01,truck.n.01,predicate,1.52,0.41,2.25
bus.n.01,cable_car.n.01,predicate,-0.14,0.82,2.29
car.n.01,bus.n.01,predicate,0.46,-0.31,2.29
pen.n.01,pencil.n.01,predicate,1.4,1.85,2.32
juice.n.01,orange.n.01,predicate,-0.78,-0.11,2.35
bicycle.n.01,scooter.n.02,predicate,1.03,0.72,2.43
apple.n.01,orange.n.01,predicate,0.95,1.41,2.51
shoe.n.01,boot.n.01,predicate,1.34,2.22,2.52
catsup.n.01,dressing.n.01,predicate,1.27,0.5,3.0
bicycle.n.01,tricycle.n.01,predicate,1.03,2.03,3.16
spoon.n.01,fork.n.01,predicate,1.45,2.08,3.17
tiger.n.02,lion.n.01,predicate,1.59,-0.25,3.29
car.n.01,vehicle.n.01,predicate,1.03,2.43,3.32
catsup.n.01,mayonnaise.n.01,predicate,1.1,2.42,3.94
bicycle.n.01,motorcycle.n.01,predicate,0.72,1.06,5.72
apple.n.01,teapot.n.01,visual,-0.76,-0.43,-0.63
ball.n.01,orange.n.01,visual,-0.76,-0.32,-0.66
ball.n.01,squash.n.02,visual,-1.38,0.02,-0.27
ball.n.01,radish.n.01,visual,-1.43,0.02,-0.8
bubble.n.01,egg.n.02,visual,-1.85,0.08,-0.57
ball.n.01,peach.n.03,visual,-0.68,0.12,-0.61
ball.n.01,grapefruit.n.02,visual,-0.76,0.18,-0.84
clock.n.01,telephone.n.01,visual,0.17,0.22,-0.1
clock.n.01,bracelet.n.02,visual,-0.25,0.32,-0.38
fish.n.01,firefly.n.01,visual,0.1,0.39,-0.75
apple.n.01,ball.n.01,visual,-0.68,0.53,-0.72
ball.n.01,apple.n.01,visual,-0.68,0.53,-0.72
boat.n.01,bulldozer.n.01,visual,0.58,0.6,-0.83
baby.n.01,statue.n.01,visual,-0.76,0.68,-0.84
hat.n.01,bucket.n.01,visual,-0.01,0.72,0.16
box.n.01,television_receiver.n.01,visual,0.31,0.73,-0.39
ball.n.01,onion.n.01,visual,-0.59,0.86,-0.89
dog.n.01,lamb.n.01,visual,0.76,0.89,-0.41
helicopter.n.01,rocket.n.01,visual,0.86,0.9,-0.15
ball.n.01,button.n.01,visual,0.31,0.9,-0.67
wheel.n.01,ring.n.08,visual,-0.25,0.91,-0.42
salt.n.02,coffee.n.01,visual,0.28,0.93,-0.15
bus.n.01,fire_engine.n.01,visual,0.33,0.93,-0.05
fruit.n.01,applesauce.n.01,visual,-1.38,0.97,0.61
hat.n.01,bowl.n.01,visual,-0.01,1.01,0.26
fish.n.01,seal.n.09,visual,0.68,1.09,-0.26
candy.n.01,cherry.n.03,visual,-0.88,1.11,-0.34
water.n.06,hose.n.03,visual,-1.31,1.16,-0.35
cake.n.03,candy.n.01,visual,-0.78,1.17,0.74
airplane.n.01,rocket.n.01,visual,0.86,1.18,0.08
hat.n.01,mitten.n.01,visual,0.86,1.18,0.09
ball.n.01,balloon.n.02,visual,0.28,1.22,0.53
fish.n.01,moth.n.01,visual,0.21,1.3,-0.74
hat.n.01,crown.n.04,visual,1.27,1.32,0.59
cow.n.01,caribou.n.01,visual,1.13,1.38,0.1
dog.n.01,horse.n.01,visual,0.85,1.41,-0.68
horse.n.01,dog.n.01,visual,0.85,1.41,-0.68
ball.n.01,helmet.n.01,visual,-0.25,1.42,-0.64
apple.n.01,lemon.n.01,visual,0.95,1.45,1.37
cat.n.01,rabbit.n.01,visual,0.96,1.45,0.83
deer.n.01,horse.n.01,visual,1.03,1.47,-0.32
horse.n.01,deer.n.01,visual,1.03,1.47,-0.32
cow.n.01,camel.n.01,visual,1.08,1.53,-0.27
ball.n.01,plaything.n.01,visual,0.46,1.56,-0.04
cow.n.01,american_bison.n.01,visual,1.27,1.59,0.9
ball.n.01,circle.n.01,visual,-1.91,1.6,0.2
bird.n.01,duck.n.01,visual,1.17,1.63,0.71
duck.n.01,bird.n.01,visual,1.17,1.63,0.71
bunny.n.02,squirrel.n.01,visual,0.96,1.65,0.56
apple.n.01,egg.n.02,visual,-0.68,1.66,-0.14
ball.n.01,ellipse.n.01,visual,-1.88,1.7,0.1
horse.n.01,caribou.n.01,visual,0.92,1.7,-0.36
onion.n.01,potato.n.01,visual,-1.43,1.74,1.53
man.n.01,son.n.01,visual,0.31,1.75,1.11
door.n.01,shutter.n.02,visual,-0.14,1.75,0.75
duck.n.01,pigeon.n.01,visual,0.77,1.78,-0.44
apple.n.01,onion.n.01,visual,0.46,1.78,0.55
ball.n.01,egg.n.02,visual,-1.31,1.81,-0.34
apple.n.01,cherry.n.03,visual,1.1,1.83,1.29
bubble.n.01,marble.n.02,visual,-1.93,1.9,-0.51
onion.n.01,fruit.n.01,visual,0.76,1.92,1.01
horse.n.01,camel.n.01,visual,1.14,1.96,-0.23
horse.n.01,goat.n.01,visual,0.92,2.01,-0.35
hat.n.01,scarf.n.01,visual,1.03,2.14,0.73
clock.n.01,watch.n.01,visual,1.49,2.15,1.79
fruit.n.01,pear.n.01,visual,1.45,2.19,1.37
apple.n.01,tomato.n.01,visual,0.62,2.2,1.68
airplane.n.01,helicopter.n.01,visual,1.52,2.21,1.82
box.n.01,drawer.n.01,visual,1.34,2.23,0.38
fly.n.01,insect.n.01,visual,1.49,2.25,0.99
cow.n.01,horse.n.01,visual,0.72,2.28,0.37
horse.n.01,cow.n.01,visual,0.72,2.28,0.37
dad.n.01,man.n.01,visual,-0.16,2.28,0.54
bicycle.n.01,wheelchair.n.01,visual,0.17,2.29,0.08
apple.n.01,grape.n.01,visual,1.1,2.36,2.11
apple.n.01,melon.n.01,visual,1.1,2.36,1.33
duck.n.01,goose.n.01,visual,1.57,2.36,2.27
clock.n.01,timer.n.01,visual,1.49,2.41,1.8
juice.n.01,milk.n.01,visual,1.03,2.42,0.14
apple.n.01,fruit.n.01,visual,1.45,2.43,2.15
shoe.n.01,slipper.n.01,visual,1.34,2.51,2.11
horse.n.01,domestic_ass.n.01,visual,1.46,2.52,1.43
beer.n.01,soy_sauce.n.01,visual,-0.14,2.58,-0.27
juice.n.01,drink.n.01,visual,-1.77,2.65,0.76
cheese.n.01,butter.n.01,visual,1.34,2.69,1.38
ma.n.01,woman.n.01,visual,-0.16,2.74,-0.01
catsup.n.01,syrup.n.01,visual,1.03,2.79,1.33
squirrel.n.01,chipmunk.n.01,visual,1.72,2.81,2.58
key.n.01,hook.n.02,visual,-1.81,2.82,-0.69
apple.n.01,pear.n.01,visual,1.49,2.92,2.24
tea.n.01,cup.n.01,visual,-1.24,2.93,1.79
apple.n.01,plum.n.02,visual,1.1,2.94,1.46
apple.n.01,peach.n.03,visual,1.1,2.97,0.96
peach.n.03,plum.n.02,visual,1.49,3.03,2.62
plum.n.02,peach.n.03,visual,1.49,3.03,2.62
tea.n.01,coffee.n.01,visual,1.4,3.05,2.08
son.n.01,child.n.01,visual,0.31,3.21,2.33
dad.n.01,ma.n.01,visual,1.27,3.23,3.07
ma.n.01,dad.n.01,visual,1.27,3.23,3.07
grandma.n.01,grandfather.n.01,visual,1.52,3.25,3.14
baby.n.01,child.n.01,visual,0.17,3.3,2.92
